key,intact_key,status,fire_pixels,smoke_pixels
nef_s1_fuel_tank_damaged_idle,nef_s1_fuel_tank_intact_idle,candidate_generated,743,1345
nef_s1_fuel_tank_critical_idle,nef_s1_fuel_tank_intact_idle,candidate_generated,5990,3775
nef_s1_ammo_crate_damaged_idle,nef_s1_ammo_crate_intact_idle,candidate_generated,1083,0
nef_s1_ammo_crate_critical_idle,nef_s1_ammo_crate_intact_idle,candidate_generated,9466,0
nef_s1_river_mine_damaged_idle,nef_s1_river_mine_intact_idle,candidate_generated,93,0
nef_s1_river_mine_critical_idle,nef_s1_river_mine_intact_idle,candidate_generated,2945,7029
nef_s2_lava_crawler_damaged_idle,nef_s2_lava_crawler_intact_idle,candidate_generated,601,0
nef_s2_lava_crawler_critical_idle,nef_s2_lava_crawler_intact_idle,candidate_generated,5210,3327
nef_s2_mini_drill_tank_damaged_idle,nef_s2_mini_drill_tank_intact_idle,candidate_generated,394,0
nef_s2_mini_drill_tank_critical_idle,nef_s2_mini_drill_tank_intact_idle,candidate_generated,4958,2924
nef_s2_magma_artillery_damaged_idle,nef_s2_magma_artillery_intact_idle,candidate_generated,870,1283
nef_s2_magma_artillery_critical_idle,nef_s2_magma_artillery_intact_idle,candidate_generated,6176,3346
nef_s2_heat_shielded_barrel_damaged_idle,nef_s2_heat_shielded_barrel_intact_idle,candidate_generated,1155,0
nef_s2_heat_shielded_barrel_critical_idle,nef_s2_heat_shielded_barrel_intact_idle,candidate_generated,5802,2945
nef_s2_volcanic_mine_damaged_idle,nef_s2_volcanic_mine_intact_idle,candidate_generated,634,1272
nef_s2_volcanic_mine_critical_idle,nef_s2_volcanic_mine_intact_idle,candidate_generated,4836,3510
nef_s2_tracked_flame_turret_damaged_idle,nef_s2_tracked_flame_turret_intact_idle,candidate_generated,610,1335
nef_s2_tracked_flame_turret_critical_idle,nef_s2_tracked_flame_turret_intact_idle,candidate_generated,5246,3197
nef_s2_magma_skimmer_damaged_idle,nef_s2_magma_skimmer_intact_idle,candidate_generated,532,1237
nef_s2_magma_skimmer_critical_idle,nef_s2_magma_skimmer_intact_idle,candidate_generated,5485,2835
nef_s2_molten_drone_damaged_idle,nef_s2_molten_drone_intact_idle,candidate_generated,659,2
nef_s2_molten_drone_critical_idle,nef_s2_molten_drone_intact_idle,candidate_generated,4571,3472
nef_s2_armored_lava_boat_damaged_idle,nef_s2_armored_lava_boat_intact_idle,candidate_generated,295,1248
nef_s2_armored_lava_boat_critical_idle,nef_s2_armored_lava_boat_intact_idle,candidate_generated,4123,3215
nef_s2_drill_buggy_damaged_idle,nef_s2_drill_buggy_intact_idle,candidate_generated,462,0
nef_s2_drill_buggy_critical_idle,nef_s2_drill_buggy_intact_idle,candidate_generated,4814,2971
nef_s2_eruption_pod_damaged_idle,nef_s2_eruption_pod_intact_idle,candidate_generated,683,0
nef_s2_eruption_pod_critical_idle,nef_s2_eruption_pod_intact_idle,candidate_generated,4964,3034
nef_s2_volcanic_elite_interceptor_damaged_idle,nef_s2_volcanic_elite_interceptor_intact_idle,candidate_generated,361,1265
nef_s2_volcanic_elite_interceptor_critical_idle,nef_s2_volcanic_elite_interceptor_intact_idle,candidate_generated,3895,3008
nef_s3_snow_tank_damaged_idle,nef_s3_snow_tank_intact_idle,candidate_generated,13,0
nef_s3_snow_tank_critical_idle,nef_s3_snow_tank_intact_idle,candidate_generated,2098,0
nef_s3_ice_crawler_damaged_idle,nef_s3_ice_crawler_intact_idle,candidate_generated,13,1512
nef_s3_ice_crawler_critical_idle,nef_s3_ice_crawler_intact_idle,candidate_generated,1569,5100
nef_s3_aa_sled_damaged_idle,nef_s3_aa_sled_intact_idle,candidate_generated,13,0
nef_s3_aa_sled_critical_idle,nef_s3_aa_sled_intact_idle,candidate_generated,1882,0
nef_s3_frozen_turret_damaged_idle,nef_s3_frozen_turret_intact_idle,candidate_generated,13,0
nef_s3_frozen_turret_critical_idle,nef_s3_frozen_turret_intact_idle,candidate_generated,1824,4427
nef_s3_shard_mine_damaged_idle,nef_s3_shard_mine_intact_idle,candidate_generated,24,2951
nef_s3_shard_mine_critical_idle,nef_s3_shard_mine_intact_idle,candidate_generated,1860,7754
nef_s3_explosive_cryo_canister_damaged_idle,nef_s3_explosive_cryo_canister_intact_idle,candidate_generated,6,2
nef_s3_explosive_cryo_canister_critical_idle,nef_s3_explosive_cryo_canister_intact_idle,candidate_generated,1714,6727
nef_s3_ice_skimmer_damaged_idle,nef_s3_ice_skimmer_intact_idle,candidate_generated,16,2514
nef_s3_ice_skimmer_critical_idle,nef_s3_ice_skimmer_intact_idle,candidate_generated,2028,7456
nef_s3_glacier_drone_damaged_idle,nef_s3_glacier_drone_intact_idle,candidate_generated,23,1781
nef_s3_glacier_drone_critical_idle,nef_s3_glacier_drone_intact_idle,candidate_generated,1834,7020
nef_s3_tracked_frost_artillery_damaged_idle,nef_s3_tracked_frost_artillery_intact_idle,candidate_generated,13,0
nef_s3_tracked_frost_artillery_critical_idle,nef_s3_tracked_frost_artillery_intact_idle,candidate_generated,1685,5920
nef_s3_snowmobile_gunner_damaged_idle,nef_s3_snowmobile_gunner_intact_idle,candidate_generated,5,1504
nef_s3_snowmobile_gunner_critical_idle,nef_s3_snowmobile_gunner_intact_idle,candidate_generated,1692,5367
nef_s3_cryo_barge_damaged_idle,nef_s3_cryo_barge_intact_idle,candidate_generated,19,0
nef_s3_cryo_barge_critical_idle,nef_s3_cryo_barge_intact_idle,candidate_generated,1919,5084
nef_s3_elite_ice_interceptor_damaged_idle,nef_s3_elite_ice_interceptor_intact_idle,candidate_generated,25,2302
nef_s3_elite_ice_interceptor_critical_idle,nef_s3_elite_ice_interceptor_intact_idle,candidate_generated,2116,7926
nglr_assembled_critical,nglr_assembled_intact,no_high_confidence_fire_smoke,0,0
nglr_assembled_damaged,nglr_assembled_intact,no_high_confidence_fire_smoke,0,0
nglr_left_weapon_pod_critical,nglr_left_weapon_pod_intact,size_mismatch,0,0
nglr_left_track_critical,nglr_left_track_intact,size_mismatch,0,0
nglr_left_track_damaged,nglr_left_track_intact,size_mismatch,0,0
nglr_left_weapon_pod_damaged,nglr_left_weapon_pod_intact,no_high_confidence_fire_smoke,0,0
nglr_right_weapon_pod_critical,nglr_right_weapon_pod_intact,size_mismatch,0,0
nglr_front_weapon_critical,nglr_front_weapon_intact,size_mismatch,0,0
nglr_front_weapon_damaged,nglr_front_weapon_intact,no_high_confidence_fire_smoke,0,0
nglr_turret_core_critical,nglr_turret_core_intact,size_mismatch,0,0
nglr_turret_core_damaged,nglr_turret_core_intact,size_mismatch,0,0
nglr_rear_engine_critical,nglr_rear_engine_intact,size_mismatch,0,0
nglr_rear_engine_damaged,nglr_rear_engine_intact,no_high_confidence_fire_smoke,0,0
nqx_cannon_left_inner_damaged,nqx_cannon_left_inner_intact,candidate_generated,256,620
nqx_cannon_left_outer_damaged,nqx_cannon_left_outer_intact,candidate_generated,210,528
nqx_cannon_right_inner_damaged,nqx_cannon_right_inner_intact,candidate_generated,210,706
nqx_cannon_right_outer_damaged,nqx_cannon_right_outer_intact,candidate_generated,197,589
nqx_body_damaged,nqx_body_intact,candidate_generated,1199,1207
nglr_right_track_critical,nglr_right_track_intact,no_high_confidence_fire_smoke,0,0
nglr_right_track_damaged,nglr_right_track_intact,no_high_confidence_fire_smoke,0,0
nglr_right_weapon_pod_damaged,nglr_right_weapon_pod_intact,size_mismatch,0,0
nglr_hull_damaged,nglr_hull_intact,size_mismatch,0,0
nglr_hull_critical,nglr_hull_intact,size_mismatch,0,0
ovbody_critical,ovbody_intact,candidate_generated,405,4265
nobd_assembled_damaged,nobd_assembled_intact,size_mismatch,0,0
nobd_assembled_critical,nobd_assembled_intact,size_mismatch,0,0
nobd_right_track_damaged,nobd_right_track_intact,size_mismatch,0,0
nobd_left_track_damaged,nobd_left_track_intact,size_mismatch,0,0
nobd_left_track_critical,nobd_left_track_intact,size_mismatch,0,0
nobd_right_track_critical,nobd_right_track_intact,size_mismatch,0,0
nobd_left_weapon_pod_critical,nobd_left_weapon_pod_intact,size_mismatch,0,0
nobd_right_weapon_pod_critical,nobd_right_weapon_pod_intact,size_mismatch,0,0
nobd_right_weapon_pod_damaged,nobd_right_weapon_pod_intact,size_mismatch,0,0
nobd_left_weapon_pod_damaged,nobd_left_weapon_pod_intact,candidate_generated,0,7
nobd_front_weapon_critical,nobd_front_weapon_intact,no_high_confidence_fire_smoke,0,0
nobd_front_weapon_damaged,nobd_front_weapon_intact,size_mismatch,0,0
nobd_turret_core_critical,nobd_turret_core_intact,size_mismatch,0,0
nobd_hull_critical,nobd_hull_intact,size_mismatch,0,0
nobd_hull_damaged,nobd_hull_intact,no_high_confidence_fire_smoke,0,0
nobd_turret_core_damaged,nobd_turret_core_intact,no_high_confidence_fire_smoke,0,0
nobd_rear_engine_critical,nobd_rear_engine_intact,size_mismatch,0,0
nobd_rear_engine_damaged,nobd_rear_engine_intact,no_high_confidence_fire_smoke,0,0
mbg3f_front-weapon_damaged,mbg3f_front-weapon_intact,no_high_confidence_fire_smoke,0,0
mbg3f_hull_damaged,mbg3f_hull_intact,no_high_confidence_fire_smoke,0,0
mbg3f_left-track_damaged,mbg3f_left-track_intact,no_high_confidence_fire_smoke,0,0
mbg3f_left-weapon-pod_damaged,mbg3f_left-weapon-pod_intact,no_high_confidence_fire_smoke,0,0
mbg3f_rear-engine_damaged,mbg3f_rear-engine_intact,no_high_confidence_fire_smoke,0,0
mbg3f_right-track_damaged,mbg3f_right-track_intact,no_high_confidence_fire_smoke,0,0
mbg3f_right-weapon-pod_damaged,mbg3f_right-weapon-pod_intact,no_high_confidence_fire_smoke,0,0
mbg3f_turret-core_damaged,mbg3f_turret-core_intact,no_high_confidence_fire_smoke,0,0
mbg3f_left-track_critical,mbg3f_left-track_intact,no_high_confidence_fire_smoke,0,0
mbg3f_right-track_critical,mbg3f_right-track_intact,no_high_confidence_fire_smoke,0,0
mbg3f_front-weapon_critical,mbg3f_front-weapon_intact,no_high_confidence_fire_smoke,0,0
mbg3f_left-weapon-pod_critical,mbg3f_left-weapon-pod_intact,no_high_confidence_fire_smoke,0,0
mbg3f_right-weapon-pod_critical,mbg3f_right-weapon-pod_intact,no_high_confidence_fire_smoke,0,0
mbg3f_rear-engine_critical,mbg3f_rear-engine_intact,no_high_confidence_fire_smoke,0,0
mbg3f_turret-core_critical,mbg3f_turret-core_intact,no_high_confidence_fire_smoke,0,0
mbg3f_hull_critical,mbg3f_hull_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-01_damaged,mbt7_body-segment-01_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-02_damaged,mbt7_body-segment-02_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-03_damaged,mbt7_body-segment-03_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-04_damaged,mbt7_body-segment-04_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-05_damaged,mbt7_body-segment-05_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-06_damaged,mbt7_body-segment-06_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-01_critical,mbt7_body-segment-01_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-02_critical,mbt7_body-segment-02_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-03_critical,mbt7_body-segment-03_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-04_critical,mbt7_body-segment-04_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-05_critical,mbt7_body-segment-05_intact,no_high_confidence_fire_smoke,0,0
mbt7_body-segment-06_critical,mbt7_body-segment-06_intact,no_high_confidence_fire_smoke,0,0
mbc6_left-engine-pods_damaged,mbc6_left-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbc6_left-weapon-rack_damaged,mbc6_left-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbc6_left-wing_damaged,mbc6_left-wing_intact,no_high_confidence_fire_smoke,0,0
mbc6_left-engine-pods_critical,mbc6_left-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbc6_left-weapon-rack_critical,mbc6_left-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbc6_left-wing_critical,mbc6_left-wing_intact,no_high_confidence_fire_smoke,0,0
mbc6_right-engine-pods_damaged,mbc6_right-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbc6_right-weapon-rack_damaged,mbc6_right-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbc6_right-wing_damaged,mbc6_right-wing_intact,no_high_confidence_fire_smoke,0,0
mbc6_right-engine-pods_critical,mbc6_right-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbc6_right-weapon-rack_critical,mbc6_right-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbc6_right-wing_critical,mbc6_right-wing_intact,no_high_confidence_fire_smoke,0,0
mbg2_left-arm_damaged,mbg2_left-arm_intact,candidate_generated,504,0
mbg2_left-cannon_damaged,mbg2_left-cannon_intact,candidate_generated,388,0
mbg2_left-leg_damaged,mbg2_left-leg_intact,candidate_generated,562,0
mbg2_left-cannon_critical,mbg2_left-cannon_intact,candidate_generated,279,0
mbg2_left-arm_critical,mbg2_left-arm_intact,candidate_generated,219,0
mbg2_left-leg_critical,mbg2_left-leg_intact,candidate_generated,224,0
mbg2_right-arm_damaged,mbg2_right-arm_intact,candidate_generated,468,0
mbg2_right-cannon_damaged,mbg2_right-cannon_intact,candidate_generated,472,0
mbg2_right-leg_damaged,mbg2_right-leg_intact,candidate_generated,522,0
mbg2_right-cannon_critical,mbg2_right-cannon_intact,candidate_generated,295,0
mbg2_right-arm_critical,mbg2_right-arm_intact,candidate_generated,287,0
mbg2_right-leg_critical,mbg2_right-leg_intact,candidate_generated,253,0
mbg3_left-arm_damaged,mbg3_left-arm_intact,no_high_confidence_fire_smoke,0,0
mbg3_left-cannon_damaged,mbg3_left-cannon_intact,no_high_confidence_fire_smoke,0,0
mbg3_left-leg_damaged,mbg3_left-leg_intact,no_high_confidence_fire_smoke,0,0
mbg3_left-cannon_critical,mbg3_left-cannon_intact,no_high_confidence_fire_smoke,0,0
mbg3_left-arm_critical,mbg3_left-arm_intact,no_high_confidence_fire_smoke,0,0
mbg3_left-leg_critical,mbg3_left-leg_intact,no_high_confidence_fire_smoke,0,0
mbg3_right-arm_damaged,mbg3_right-arm_intact,no_high_confidence_fire_smoke,0,0
mbg3_right-cannon_damaged,mbg3_right-cannon_intact,no_high_confidence_fire_smoke,0,0
mbg3_right-leg_damaged,mbg3_right-leg_intact,no_high_confidence_fire_smoke,0,0
mbg3_right-cannon_critical,mbg3_right-cannon_intact,no_high_confidence_fire_smoke,0,0
mbg3_right-arm_critical,mbg3_right-arm_intact,no_high_confidence_fire_smoke,0,0
mbg3_right-leg_critical,mbg3_right-leg_intact,no_high_confidence_fire_smoke,0,0
mbs6_left-engine-pods_damaged,mbs6_left-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbs6_left-weapon-rack_damaged,mbs6_left-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbs6_left-wing_damaged,mbs6_left-wing_intact,no_high_confidence_fire_smoke,0,0
mbs6_left-engine-pods_critical,mbs6_left-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbs6_left-weapon-rack_critical,mbs6_left-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbs6_left-wing_critical,mbs6_left-wing_intact,no_high_confidence_fire_smoke,0,0
mbs6_right-engine-pods_damaged,mbs6_right-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbs6_right-weapon-rack_damaged,mbs6_right-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbs6_right-wing_damaged,mbs6_right-wing_intact,no_high_confidence_fire_smoke,0,0
mbs6_right-engine-pods_critical,mbs6_right-engine-pods_intact,no_high_confidence_fire_smoke,0,0
mbs6_right-weapon-rack_critical,mbs6_right-weapon-rack_intact,no_high_confidence_fire_smoke,0,0
mbs6_right-wing_critical,mbs6_right-wing_intact,no_high_confidence_fire_smoke,0,0
mbs7_left-crusher-claw_damaged,mbs7_left-crusher-claw_intact,candidate_generated,367,0
mbs7_left-front-legs_damaged,mbs7_left-front-legs_intact,candidate_generated,462,0
mbs7_left-rear-legs_damaged,mbs7_left-rear-legs_intact,candidate_generated,308,0
mbs7_left-crusher-claw_critical,mbs7_left-crusher-claw_intact,candidate_generated,465,0
mbs7_left-front-legs_critical,mbs7_left-front-legs_intact,candidate_generated,770,0
mbs7_left-rear-legs_critical,mbs7_left-rear-legs_intact,candidate_generated,527,0
mbs7_right-crusher-claw_damaged,mbs7_right-crusher-claw_intact,candidate_generated,279,0
mbs7_right-front-legs_damaged,mbs7_right-front-legs_intact,candidate_generated,318,0
mbs7_right-rear-legs_damaged,mbs7_right-rear-legs_intact,candidate_generated,296,0
mbs7_right-crusher-claw_critical,mbs7_right-crusher-claw_intact,candidate_generated,473,0
mbs7_right-front-legs_critical,mbs7_right-front-legs_intact,candidate_generated,636,0
mbs7_right-rear-legs_critical,mbs7_right-rear-legs_intact,candidate_generated,482,0
mbw4_left-engine-pods_damaged,mbw4_left-engine-pods_intact,candidate_generated,97,0
mbw4_left-weapon-rack_damaged,mbw4_left-weapon-rack_intact,candidate_generated,159,0
mbw4_left-wing_damaged,mbw4_left-wing_intact,candidate_generated,109,0
mbw4_left-engine-pods_critical,mbw4_left-engine-pods_intact,candidate_generated,300,0
mbw4_left-weapon-rack_critical,mbw4_left-weapon-rack_intact,candidate_generated,251,0
mbw4_left-wing_critical,mbw4_left-wing_intact,candidate_generated,372,0
mbw4_right-engine-pods_damaged,mbw4_right-engine-pods_intact,candidate_generated,178,0
mbw4_right-weapon-rack_damaged,mbw4_right-weapon-rack_intact,candidate_generated,146,0
mbw4_right-wing_damaged,mbw4_right-wing_intact,candidate_generated,139,0
mbw4_right-engine-pods_critical,mbw4_right-engine-pods_intact,candidate_generated,167,0
mbw4_right-weapon-rack_critical,mbw4_right-weapon-rack_intact,candidate_generated,326,0
mbw4_right-wing_critical,mbw4_right-wing_intact,candidate_generated,322,0
nql_cannon_left_inner_damaged,nql_cannon_left_inner_intact,candidate_generated,224,595
nql_cannon_left_outer_damaged,nql_cannon_left_outer_intact,candidate_generated,192,510
nql_cannon_right_inner_damaged,nql_cannon_right_inner_intact,candidate_generated,198,711
nql_cannon_right_outer_damaged,nql_cannon_right_outer_intact,candidate_generated,185,579
mbl5_left-track_damaged,mbl5_left-track_intact,candidate_generated,140,0
mbl5_left-weapon-pod_damaged,mbl5_left-weapon-pod_intact,candidate_generated,166,0
mbl5_left-track_critical,mbl5_left-track_intact,candidate_generated,383,0
mbl5_left-weapon-pod_critical,mbl5_left-weapon-pod_intact,candidate_generated,304,0
mbl5_right-track_damaged,mbl5_right-track_intact,candidate_generated,145,0
mbl5_right-weapon-pod_damaged,mbl5_right-weapon-pod_intact,candidate_generated,205,0
mbl5_right-track_critical,mbl5_right-track_intact,candidate_generated,330,0
mbl5_right-weapon-pod_critical,mbl5_right-weapon-pod_intact,candidate_generated,285,0
mbm4_left-track_damaged,mbm4_left-track_intact,candidate_generated,93,0
mbm4_left-weapon-pod_damaged,mbm4_left-weapon-pod_intact,candidate_generated,151,0
mbm4_left-track_critical,mbm4_left-track_intact,candidate_generated,370,0
mbm4_left-weapon-pod_critical,mbm4_left-weapon-pod_intact,candidate_generated,312,0
mbm4_right-track_damaged,mbm4_right-track_intact,candidate_generated,181,0
mbm4_right-weapon-pod_damaged,mbm4_right-weapon-pod_intact,candidate_generated,131,0
mbm4_right-track_critical,mbm4_right-track_intact,candidate_generated,178,0
mbm4_right-weapon-pod_critical,mbm4_right-weapon-pod_intact,candidate_generated,342,0
mbo2_left-track_damaged,mbo2_left-track_intact,candidate_generated,108,0
mbo2_left-weapon-pod_damaged,mbo2_left-weapon-pod_intact,candidate_generated,144,0
mbo2_left-track_critical,mbo2_left-track_intact,candidate_generated,295,0
mbo2_left-weapon-pod_critical,mbo2_left-weapon-pod_intact,candidate_generated,222,0
mbo2_right-track_damaged,mbo2_right-track_intact,candidate_generated,222,0
mbo2_right-weapon-pod_damaged,mbo2_right-weapon-pod_intact,candidate_generated,93,0
mbo2_right-track_critical,mbo2_right-track_intact,candidate_generated,321,0
mbo2_right-weapon-pod_critical,mbo2_right-weapon-pod_intact,candidate_generated,310,0
mbr5_left-fortress-wing_damaged,mbr5_left-fortress-wing_intact,candidate_generated,158,0
mbr5_left-siege-arm_damaged,mbr5_left-siege-arm_intact,candidate_generated,156,0
mbr5_left-siege-arm_critical,mbr5_left-siege-arm_intact,candidate_generated,302,0
mbr5_left-fortress-wing_critical,mbr5_left-fortress-wing_intact,candidate_generated,325,0
mbr5_right-fortress-wing_damaged,mbr5_right-fortress-wing_intact,candidate_generated,138,0
mbr5_right-siege-arm_damaged,mbr5_right-siege-arm_intact,candidate_generated,137,0
mbr5_right-siege-arm_critical,mbr5_right-siege-arm_intact,candidate_generated,250,0
mbr5_right-fortress-wing_critical,mbr5_right-fortress-wing_intact,candidate_generated,323,0
mbg2_head_damaged,mbg2_head_intact,candidate_generated,610,0
mbg2_head_critical,mbg2_head_intact,candidate_generated,340,0
mbg3_head_damaged,mbg3_head_intact,no_high_confidence_fire_smoke,0,0
mbg3_head_critical,mbg3_head_intact,no_high_confidence_fire_smoke,0,0
mbc6_command-core_damaged,mbc6_command-core_intact,no_high_confidence_fire_smoke,0,0
mbc6_command-core_critical,mbc6_command-core_intact,no_high_confidence_fire_smoke,0,0
mbc6_nose_damaged,mbc6_nose_intact,no_high_confidence_fire_smoke,0,0
mbc6_nose_critical,mbc6_nose_intact,no_high_confidence_fire_smoke,0,0
mbc6_tail_damaged,mbc6_tail_intact,no_high_confidence_fire_smoke,0,0
mbc6_tail_critical,mbc6_tail_intact,no_high_confidence_fire_smoke,0,0
mbg2_torso_damaged,mbg2_torso_intact,candidate_generated,338,0
mbg2_torso_critical,mbg2_torso_intact,candidate_generated,335,0
mbg3_torso_damaged,mbg3_torso_intact,no_high_confidence_fire_smoke,0,0
mbg3_torso_critical,mbg3_torso_intact,no_high_confidence_fire_smoke,0,0
mbl5_front-weapon_damaged,mbl5_front-weapon_intact,candidate_generated,157,0
mbl5_front-weapon_critical,mbl5_front-weapon_intact,candidate_generated,327,0
mbl5_hull_damaged,mbl5_hull_intact,candidate_generated,150,0
mbl5_hull_critical,mbl5_hull_intact,candidate_generated,230,0
mbl5_rear-engine_damaged,mbl5_rear-engine_intact,candidate_generated,74,0
mbl5_rear-engine_critical,mbl5_rear-engine_intact,candidate_generated,321,0
mbl5_turret-core_damaged,mbl5_turret-core_intact,candidate_generated,124,0
mbl5_turret-core_critical,mbl5_turret-core_intact,candidate_generated,337,0
mbm4_front-weapon_damaged,mbm4_front-weapon_intact,candidate_generated,161,0
mbm4_front-weapon_critical,mbm4_front-weapon_intact,candidate_generated,270,0
mbm4_hull_damaged,mbm4_hull_intact,candidate_generated,120,0
mbm4_hull_critical,mbm4_hull_intact,candidate_generated,228,0
mbm4_rear-engine_damaged,mbm4_rear-engine_intact,candidate_generated,135,0
mbm4_rear-engine_critical,mbm4_rear-engine_intact,candidate_generated,250,0
mbm4_turret-core_damaged,mbm4_turret-core_intact,candidate_generated,211,0
mbm4_turret-core_critical,mbm4_turret-core_intact,candidate_generated,237,0
mbo2_front-weapon_damaged,mbo2_front-weapon_intact,candidate_generated,188,0
mbo2_front-weapon_critical,mbo2_front-weapon_intact,candidate_generated,305,0
mbo2_hull_damaged,mbo2_hull_intact,candidate_generated,89,0
mbo2_hull_critical,mbo2_hull_intact,candidate_generated,310,0
mbo2_rear-engine_damaged,mbo2_rear-engine_intact,candidate_generated,190,0
mbo2_rear-engine_critical,mbo2_rear-engine_intact,candidate_generated,208,0
mbo2_turret-core_damaged,mbo2_turret-core_intact,candidate_generated,142,0
mbo2_turret-core_critical,mbo2_turret-core_intact,candidate_generated,352,0
mbr5_command-core_damaged,mbr5_command-core_intact,candidate_generated,190,0
mbr5_command-core_critical,mbr5_command-core_intact,candidate_generated,268,0
mbr5_gun-decks_damaged,mbr5_gun-decks_intact,candidate_generated,126,0
mbr5_gun-decks_critical,mbr5_gun-decks_intact,candidate_generated,330,0
mbr5_ram-gate_damaged,mbr5_ram-gate_intact,candidate_generated,147,0
mbr5_ram-gate_critical,mbr5_ram-gate_intact,candidate_generated,345,0
mbs6_command-core_damaged,mbs6_command-core_intact,no_high_confidence_fire_smoke,0,0
mbs6_command-core_critical,mbs6_command-core_intact,no_high_confidence_fire_smoke,0,0
mbs6_nose_damaged,mbs6_nose_intact,no_high_confidence_fire_smoke,0,0
mbs6_nose_critical,mbs6_nose_intact,no_high_confidence_fire_smoke,0,0
mbs6_tail_damaged,mbs6_tail_intact,no_high_confidence_fire_smoke,0,0
mbs6_tail_critical,mbs6_tail_intact,no_high_confidence_fire_smoke,0,0
mbs7_central-hull_damaged,mbs7_central-hull_intact,candidate_generated,159,0
mbs7_central-hull_critical,mbs7_central-hull_intact,candidate_generated,316,0
mbs7_head-cab_damaged,mbs7_head-cab_intact,candidate_generated,305,0
mbs7_head-cab_critical,mbs7_head-cab_intact,candidate_generated,322,0
mbs7_reactor-turret_damaged,mbs7_reactor-turret_intact,candidate_generated,475,0
mbs7_reactor-turret_critical,mbs7_reactor-turret_intact,candidate_generated,554,0
