family,frame,changed,alpha_pixels,component_count,largest_component,largest_component_share,removed_components,removed_pixels,edge_touch,semitransparent_pixels
vfx-cosmic-singularity-mine,cosmic-singularity-mine-02.png,False,8453,2,8326,0.985,0,0,False,0
vfx-cosmic-singularity-mine,cosmic-singularity-mine-03.png,False,7820,2,7700,0.9847,0,0,False,0
vfx-cosmic-singularity-mine,cosmic-singularity-mine-04.png,False,8886,2,8752,0.9849,0,0,False,0
vfx-cosmic-singularity-mine,cosmic-singularity-mine-05.png,False,8076,2,7952,0.9846,0,0,False,0
vfx-cosmic-singularity-mine,cosmic-singularity-mine-06.png,False,7503,2,7383,0.984,0,0,False,0
vfx-cosmic-void-shock-ring,cosmic-void-shock-ring-01.png,False,559,8,535,0.9571,0,0,False,0
vfx-cosmic-void-shock-ring,cosmic-void-shock-ring-02.png,True,2688,16,2537,0.9438,4,13,False,0
vfx-cosmic-void-shock-ring,cosmic-void-shock-ring-03.png,True,7126,21,6674,0.9366,1,4,False,0
vfx-cosmic-void-shock-ring,cosmic-void-shock-ring-04.png,True,11764,20,11040,0.9385,5,28,False,0
vfx-cosmic-void-shock-ring,cosmic-void-shock-ring-05.png,True,6107,19,5867,0.9607,4,12,False,0
vfx-cosmic-void-shock-ring,cosmic-void-shock-ring-06.png,True,1528,12,1431,0.9365,1,3,False,0
vfx-cosmic-warden-beam-head,cosmic-warden-beam-head-01.png,True,8598,28,7838,0.9116,4,25,False,0
vfx-cosmic-warden-beam-head,cosmic-warden-beam-head-02.png,True,10157,28,9230,0.9087,5,38,False,0
vfx-cosmic-warden-beam-head,cosmic-warden-beam-head-03.png,True,9316,28,8465,0.9087,5,28,False,0
vfx-cosmic-warden-beam-head,cosmic-warden-beam-head-04.png,True,10860,28,9854,0.9074,4,31,False,0
vfx-cosmic-warden-beam-head,cosmic-warden-beam-head-05.png,True,9783,28,8921,0.9119,5,28,False,0
vfx-cosmic-warden-beam-head,cosmic-warden-beam-head-06.png,True,9087,28,8263,0.9093,4,27,False,0
vfx-cosmic-warp-needle,cosmic-warp-needle-01.png,True,3741,11,3623,0.9685,3,10,False,0
vfx-cosmic-warp-needle,cosmic-warp-needle-02.png,True,4434,11,4306,0.9711,4,15,False,0
vfx-cosmic-warp-needle,cosmic-warp-needle-03.png,True,4125,11,4010,0.9721,4,15,False,0
vfx-cosmic-warp-needle,cosmic-warp-needle-04.png,True,4712,11,4572,0.9703,4,15,False,0
vfx-cosmic-warp-needle,cosmic-warp-needle-05.png,True,4175,11,4060,0.9725,4,15,False,0
vfx-cosmic-warp-needle,cosmic-warp-needle-06.png,True,3905,10,3830,0.9808,4,10,False,0
vfx-cosmic-warp-star-muzzle,cosmic-warp-star-muzzle-01.png,False,1204,1,1204,1.0,0,0,False,0
vfx-cosmic-warp-star-muzzle,cosmic-warp-star-muzzle-02.png,False,5129,1,5129,1.0,0,0,False,0
vfx-cosmic-warp-star-muzzle,cosmic-warp-star-muzzle-03.png,False,13409,1,13409,1.0,0,0,False,0
vfx-cosmic-warp-star-muzzle,cosmic-warp-star-muzzle-04.png,False,9851,1,9851,1.0,0,0,False,0
vfx-cosmic-warp-star-muzzle,cosmic-warp-star-muzzle-05.png,False,3598,1,3598,1.0,0,0,False,0
vfx-cosmic-warp-star-muzzle,cosmic-warp-star-muzzle-06.png,False,636,1,636,1.0,0,0,False,0
vfx-heavy-blacksteel-penetrator,heavy-blacksteel-penetrator-01.png,True,3919,12,3850,0.9824,6,33,False,0
vfx-heavy-blacksteel-penetrator,heavy-blacksteel-penetrator-02.png,True,4689,14,4609,0.9829,8,36,False,0
vfx-heavy-blacksteel-penetrator,heavy-blacksteel-penetrator-03.png,True,4324,14,4253,0.9836,9,41,False,0
vfx-heavy-blacksteel-penetrator,heavy-blacksteel-penetrator-04.png,True,5022,14,4926,0.9809,7,28,False,0
vfx-heavy-blacksteel-penetrator,heavy-blacksteel-penetrator-05.png,True,4434,14,4356,0.9824,8,36,False,0
vfx-heavy-blacksteel-penetrator,heavy-blacksteel-penetrator-06.png,True,4210,14,4133,0.9817,8,33,False,0
vfx-heavy-blacksteel-rail-muzzle,heavy-blacksteel-rail-muzzle-01.png,False,747,5,743,0.9946,0,0,False,0
vfx-heavy-blacksteel-rail-muzzle,heavy-blacksteel-rail-muzzle-02.png,True,3217,20,3159,0.982,4,14,False,0
vfx-heavy-blacksteel-rail-muzzle,heavy-blacksteel-rail-muzzle-03.png,True,8386,25,8243,0.9829,10,60,False,0
vfx-heavy-blacksteel-rail-muzzle,heavy-blacksteel-rail-muzzle-04.png,True,6200,22,6110,0.9855,12,61,False,0
vfx-heavy-blacksteel-rail-muzzle,heavy-blacksteel-rail-muzzle-05.png,True,2248,19,2200,0.9786,3,8,False,0
vfx-heavy-blacksteel-rail-muzzle,heavy-blacksteel-rail-muzzle-06.png,False,401,4,397,0.99,0,0,False,0
vfx-heavy-cryo-cannon-muzzle,heavy-cryo-cannon-muzzle-01.png,False,799,4,796,0.9962,0,0,False,0
vfx-heavy-cryo-cannon-muzzle,heavy-cryo-cannon-muzzle-02.png,True,3404,7,3390,0.9959,1,2,False,0
vfx-heavy-cryo-cannon-muzzle,heavy-cryo-cannon-muzzle-03.png,True,8832,8,8795,0.9958,4,18,False,0
vfx-heavy-cryo-cannon-muzzle,heavy-cryo-cannon-muzzle-04.png,True,6555,9,6528,0.9959,2,2,False,0
vfx-heavy-cryo-cannon-muzzle,heavy-cryo-cannon-muzzle-05.png,False,2347,8,2335,0.9949,0,0,False,0
vfx-heavy-cryo-cannon-muzzle,heavy-cryo-cannon-muzzle-06.png,False,426,2,425,0.9977,0,0,False,0
vfx-heavy-cryo-missile,heavy-cryo-missile-01.png,True,4440,14,4321,0.9732,8,44,False,0
vfx-heavy-cryo-missile,heavy-cryo-missile-02.png,True,5269,14,5131,0.9738,8,56,False,0
vfx-heavy-cryo-missile,heavy-cryo-missile-03.png,True,4822,14,4694,0.9735,8,51,False,0
vfx-heavy-cryo-missile,heavy-cryo-missile-04.png,True,5622,14,5470,0.973,7,51,False,0
vfx-heavy-cryo-missile,heavy-cryo-missile-05.png,True,4989,14,4856,0.9733,8,54,False,0
vfx-heavy-cryo-missile,heavy-cryo-missile-06.png,True,4665,13,4535,0.9721,8,52,False,0
vfx-heavy-cryogenic-lance,heavy-cryogenic-lance-01.png,True,3537,36,3033,0.8575,20,100,False,0
vfx-heavy-cryogenic-lance,heavy-cryogenic-lance-02.png,True,4196,35,3596,0.857,19,111,False,0
vfx-heavy-cryogenic-lance,heavy-cryogenic-lance-03.png,True,3848,35,3294,0.856,19,104,False,0
vfx-heavy-cryogenic-lance,heavy-cryogenic-lance-04.png,True,4519,35,3872,0.8568,19,113,False,0
vfx-heavy-cryogenic-lance,heavy-cryogenic-lance-05.png,True,4103,35,3529,0.8601,18,100,False,0
vfx-heavy-cryogenic-lance,heavy-cryogenic-lance-06.png,True,3701,36,3202,0.8652,21,101,False,0
vfx-heavy-emp-shock-ring,heavy-emp-shock-ring-01.png,False,641,3,635,0.9906,0,0,False,0
vfx-heavy-emp-shock-ring,heavy-emp-shock-ring-02.png,False,3012,12,2982,0.99,0,0,False,0
vfx-heavy-emp-shock-ring,heavy-emp-shock-ring-03.png,True,8022,14,7960,0.9923,2,5,False,0
vfx-heavy-emp-shock-ring,heavy-emp-shock-ring-04.png,True,13120,15,12974,0.9889,4,25,False,0
vfx-heavy-emp-shock-ring,heavy-emp-shock-ring-05.png,True,6806,17,6744,0.9909,3,9,False,0
vfx-heavy-emp-shock-ring,heavy-emp-shock-ring-06.png,True,1715,11,1697,0.9895,3,5,False,0
vfx-heavy-flak-blossom,heavy-flak-blossom-01.png,True,279,18,202,0.724,1,3,False,0
vfx-heavy-flak-blossom,heavy-flak-blossom-02.png,True,1327,35,831,0.6262,8,12,False,0
vfx-heavy-flak-blossom,heavy-flak-blossom-03.png,True,3512,35,2344,0.6674,14,59,False,0
vfx-heavy-flak-blossom,heavy-flak-blossom-04.png,True,5746,36,3895,0.6779,14,63,False,0
vfx-heavy-flak-blossom,heavy-flak-blossom-05.png,True,3011,34,1918,0.637,13,38,False,0
vfx-heavy-flak-blossom,heavy-flak-blossom-06.png,True,737,26,476,0.6459,2,2,False,0
vfx-heavy-heavy-cannon-shell,heavy-heavy-cannon-shell-01.png,False,7390,1,7390,1.0,0,0,False,0
vfx-heavy-heavy-cannon-shell,heavy-heavy-cannon-shell-02.png,False,8789,1,8789,1.0,0,0,False,0
vfx-heavy-heavy-cannon-shell,heavy-heavy-cannon-shell-03.png,False,8128,1,8128,1.0,0,0,False,0
vfx-heavy-heavy-cannon-shell,heavy-heavy-cannon-shell-04.png,False,9368,1,9368,1.0,0,0,False,0
vfx-heavy-heavy-cannon-shell,heavy-heavy-cannon-shell-05.png,False,8457,1,8457,1.0,0,0,False,0
vfx-heavy-heavy-cannon-shell,heavy-heavy-cannon-shell-06.png,False,7711,1,7711,1.0,0,0,False,0
vfx-heavy-heavy-fuse-bomb,heavy-heavy-fuse-bomb-01.png,True,7235,18,7151,0.9884,11,53,False,0
vfx-heavy-heavy-fuse-bomb,heavy-heavy-fuse-bomb-02.png,True,8556,19,8451,0.9877,11,63,False,0
vfx-heavy-heavy-fuse-bomb,heavy-heavy-fuse-bomb-03.png,True,7852,19,7761,0.9884,11,55,False,0
vfx-heavy-heavy-fuse-bomb,heavy-heavy-fuse-bomb-04.png,True,9122,19,9012,0.9879,11,67,False,0
vfx-heavy-heavy-fuse-bomb,heavy-heavy-fuse-bomb-05.png,True,8157,18,8064,0.9886,11,62,False,0
vfx-heavy-heavy-fuse-bomb,heavy-heavy-fuse-bomb-06.png,True,7614,19,7520,0.9877,10,53,False,0
vfx-heavy-ice-shatter-impact,heavy-ice-shatter-impact-01.png,True,645,20,512,0.7938,2,4,False,0
vfx-heavy-ice-shatter-impact,heavy-ice-shatter-impact-02.png,True,3105,26,2353,0.7578,7,43,False,0
vfx-heavy-ice-shatter-impact,heavy-ice-shatter-impact-03.png,True,8209,27,6227,0.7586,3,23,False,0
vfx-heavy-ice-shatter-impact,heavy-ice-shatter-impact-04.png,True,13488,27,10225,0.7581,2,16,False,0
vfx-heavy-ice-shatter-impact,heavy-ice-shatter-impact-05.png,True,6996,29,5590,0.799,6,34,False,0
vfx-heavy-ice-shatter-impact,heavy-ice-shatter-impact-06.png,True,1766,24,1429,0.8092,8,32,False,0
vfx-heavy-incendiary-plasma,heavy-incendiary-plasma-01.png,True,5055,28,4804,0.9503,15,76,False,0
vfx-heavy-incendiary-plasma,heavy-incendiary-plasma-02.png,True,6006,28,5665,0.9432,14,99,False,0
vfx-heavy-incendiary-plasma,heavy-incendiary-plasma-03.png,True,5509,28,5193,0.9426,15,99,False,0
vfx-heavy-incendiary-plasma,heavy-incendiary-plasma-04.png,True,6360,28,6002,0.9437,12,84,False,0
vfx-heavy-incendiary-plasma,heavy-incendiary-plasma-05.png,True,5733,28,5405,0.9428,14,91,False,0
vfx-heavy-incendiary-plasma,heavy-incendiary-plasma-06.png,True,5295,28,4997,0.9437,13,90,False,0
vfx-heavy-inferno-impact,heavy-inferno-impact-01.png,True,700,14,673,0.9614,1,5,False,0
vfx-heavy-inferno-impact,heavy-inferno-impact-02.png,True,3332,45,3169,0.9511,22,64,False,0
vfx-heavy-inferno-impact,heavy-inferno-impact-03.png,True,8754,50,8280,0.9459,28,128,False,0
vfx-heavy-inferno-impact,heavy-inferno-impact-04.png,True,14393,48,13639,0.9476,25,168,False,0
vfx-heavy-inferno-impact,heavy-inferno-impact-05.png,True,7484,46,7099,0.9486,27,123,False,0
vfx-heavy-inferno-impact,heavy-inferno-impact-06.png,True,1868,33,1785,0.9556,17,41,False,0
vfx-heavy-inferno-micro-missile,heavy-inferno-micro-missile-01.png,True,4269,19,4166,0.9759,12,66,False,0
vfx-heavy-inferno-micro-missile,heavy-inferno-micro-missile-02.png,True,5130,19,5001,0.9749,11,68,False,0
vfx-heavy-inferno-micro-missile,heavy-inferno-micro-missile-03.png,True,4701,19,4577,0.9736,11,65,False,0
vfx-heavy-inferno-micro-missile,heavy-inferno-micro-missile-04.png,True,5507,19,5375,0.976,11,71,False,0
vfx-heavy-inferno-micro-missile,heavy-inferno-micro-missile-05.png,True,4859,19,4733,0.9741,11,68,False,0
vfx-heavy-inferno-micro-missile,heavy-inferno-micro-missile-06.png,True,4592,19,4476,0.9747,11,64,False,0
vfx-heavy-military-cannon-muzzle,heavy-military-cannon-muzzle-01.png,False,772,7,766,0.9922,0,0,False,0
vfx-heavy-military-cannon-muzzle,heavy-military-cannon-muzzle-02.png,True,3331,16,3296,0.9895,4,4,False,0
vfx-heavy-military-cannon-muzzle,heavy-military-cannon-muzzle-03.png,True,8647,19,8544,0.9881,10,45,False,0
vfx-heavy-military-cannon-muzzle,heavy-military-cannon-muzzle-04.png,True,6344,19,6269,0.9882,9,28,False,0
vfx-heavy-military-cannon-muzzle,heavy-military-cannon-muzzle-05.png,True,2315,17,2284,0.9866,4,5,False,0
vfx-heavy-military-cannon-muzzle,heavy-military-cannon-muzzle-06.png,True,416,5,412,0.9904,2,2,False,0
vfx-heavy-rotary-cannon-muzzle,heavy-rotary-cannon-muzzle-01.png,False,852,13,837,0.9824,0,0,False,0
vfx-heavy-rotary-cannon-muzzle,heavy-rotary-cannon-muzzle-02.png,True,3616,28,3544,0.9801,10,21,False,0
vfx-heavy-rotary-cannon-muzzle,heavy-rotary-cannon-muzzle-03.png,True,9345,30,9142,0.9783,19,120,False,0
vfx-heavy-rotary-cannon-muzzle,heavy-rotary-cannon-muzzle-04.png,True,6899,30,6745,0.9777,16,74,False,0
vfx-heavy-rotary-cannon-muzzle,heavy-rotary-cannon-muzzle-05.png,True,2516,26,2465,0.9797,7,13,False,0
vfx-heavy-rotary-cannon-muzzle,heavy-rotary-cannon-muzzle-06.png,False,453,6,446,0.9845,0,0,False,0
vfx-heavy-toxic-jungle-missile,heavy-toxic-jungle-missile-01.png,True,4691,13,4512,0.9618,1,2,False,0
vfx-heavy-toxic-jungle-missile,heavy-toxic-jungle-missile-02.png,True,5558,13,5360,0.9644,1,5,False,0
vfx-heavy-toxic-jungle-missile,heavy-toxic-jungle-missile-03.png,True,5083,13,4911,0.9662,1,5,False,0
vfx-heavy-toxic-jungle-missile,heavy-toxic-jungle-missile-04.png,True,5868,13,5648,0.9625,1,5,False,0
vfx-heavy-toxic-jungle-missile,heavy-toxic-jungle-missile-05.png,True,5272,13,5077,0.963,1,5,False,0
vfx-heavy-toxic-jungle-missile,heavy-toxic-jungle-missile-06.png,True,4927,12,4758,0.9657,3,13,False,0
